COD_DISCIPLINA,DISCIPLINA
648,Geometria Analítica
7015,Estatística e Probabilidade
7588,Química Geral
8028,Língua Portuguesa
8255,Matemática Aplicada
8514,Cálculo Diferencial e Integral I
8518,Instalações Elétricas e Lógicas para Automação
8555,Desenho Básico
8562,Cálculo Diferencial e Integral II
8587,Cálculo Numérico
8595,Álgebra Linear
8609,Metodologia Científica
8652,Redes Industriais
8654,Desenvolvimento de Sistemas Computacionais II
8754,Fenômenos de Transporte
8773,Máquinas Elétricas
8776,Ciências do Ambiente
8786,Introdução à Administração
8810,Sistemas Lineares
8828,Processamento Digital de Sinais
9108,Introdução à Engenharia de Controle e Automação
9109,Algoritmos e Técnicas de Programação
9110,Desenho Técnico Assistido por Computador
9111,Estrutura de Dados
9112,Sistemas Digitais
9113,Sistemas Microprocessados
9114,Equações Diferenciais
9116,Legislação e Ética
9117,Cálculo Diferencial e Integral III
9118,Desenvolvimento de Sistemas Computacionais I
9121,Circuitos Elétricos I
9122,Arquitetura de Computadores
9124,Variáveis Complexas
9125,Eletromagnetismo
9127,Eletrônica Analógica
9129,Processos em Engenharia
9132,Circuitos Elétricos II
9133,Mecânica dos Sólidos
9134,Sistemas de Controle I
9135,Sistemas de Controle II
9136,Sistemas Não Lineares
9139,Informática Industrial I
9145,Eletrônica Industrial
9146,Instrumentação Industrial I
9147,Acionamentos Hidráulicos e Pneumáticos
9148,Sistemas de Controle Digital
9150,Planejamento de Processos Industriais
9152,Engenharia Econômica
9225,"Sociologia do Trabalho, Tecnologia e Cultura"
10945,Introdução à Economia
14609,Relações Étnico-raciais e Cultura Afro-brasileira e Indígena
16587,Introdução Aos Sistemas Elétricos de Potência
16588,Tópicos em Sistemas Elétricos II - Qualidade de Energia
16604,Sistemas Operacionais
16758,Tópicos em Sistemas de Informação I- Introdução à Robótica Móvel
17037,Inteligência Artificial
17385,Manufatura Integrada por Computador
17386,Empreendedorismo e Planejamento Profissional
17387,Automação e Supervisão de Processos I
17415,Instrumentação Industrial II
17425,Projeto Final de Curso I
17426,Projeto Final de Curso II
17427,Sistemas a Eventos Discretos
17428,Automação e Supervisão de Processos II
18055,Tópicos em Sistemas Elétricos I - Aterramento Elétrico
18056,Libras
19128,Tópicos em Sistemas Elétricos II - Geoprospecção
19129,Tópicos em Sistemas de Informação I - Interface Homem Máquina
19138,Tópicos em Sistemas de Informação I - Computação Evolutiva
19139,Tópicos em Sistemas Elétricos I - Controle Vetorial
19140,Tópicos em Sistemas de Informação I - Informática para Engenharia
20343,Tópicos em Sistemas de Controle I - Análise Prática de Medições de Sinais
21103,Tópicos em Sistemas de Informação II - Introdução à Programação Python
21363,Acionamentos Elétricos
21819,Tópicos em Sistemas de Informação I - Programação para Engenheiros
21821,Tópicos em Sistemas de Elétricos I - Sistemas Elétricos
22559,Física: Mecânica
22560,Laboratório de Mecânica
22561,"Física: Fluidos, Ondas e Calor"
22562,"Laboratório de Fluidos, Ondas e Calor"
22563,Física: Eletromagnetismo
22564,Laboratório de Eletromagnetismo
22649,Tópicos em Sistemas Elétricos - Transformadores de Força
22650,Tópicos em Sistemas de Informação I - Desenvolvimento Androide
22651,Tópicos em Sistemas de Informação I - Aplicações Comerciais Utilizando Java e Swing
23775,Inglês Instrumental
24371,Tópicos em Sistemas de Informação II - Otimização
25426,Tópicos em Sistemas Elétricos I - Instalações Elétricas Prediais
